feature,RF,DT
log_당월_매출_금액,0.006748472598890031,0.008670666207155401
lag1,0.0049332355701494045,0.002656087674714402
lag4,0.008700781564097296,0.008924731217363832
lag1_비중,0.8238418501619019,0.9162284515465495
lag4_비중,0.12847109956120914,0.0428845727730038
성장률,0.018065260323181714,0.014431012897083295
month_sin,0.0025482559738909897,0.00232249990089281
month_cos,0.001294176457832147,0.0009512598344833316
물가상승률,0.0006856037019756075,6.13070905061269e-05
물가_x_lag1비중,0.004711264086871797,0.002869410858247633
